cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2020-20446,4,4,3,1,0,0,,,,
CVE-2020-20448,1,4,0,1,0,3,,,,3.4.7;4.0.5;4.2.2
CVE-2020-20453,1,4,0,1,0,3,,,,3.4.9;4.1.7;4.2.5
CVE-2020-20896,2,4,2,0,1,1,,,4.2.1,4.1.9
CVE-2020-20898,2,2,1,1,0,0,,,,
CVE-2020-21697,3,3,2,1,0,0,,,,
CVE-2020-22015,2,2,1,1,0,0,,,,
CVE-2020-22017,3,3,2,1,0,0,,,,
CVE-2020-22019,4,4,3,1,0,0,,,,
CVE-2020-22021,4,4,3,1,0,0,,,,
CVE-2020-22024,2,2,1,1,0,0,,,,
CVE-2020-22029,3,3,2,1,0,0,,,,
CVE-2020-22037,3,4,3,0,1,0,,,4.2,
CVE-2020-22038,0,2,0,0,1,1,,,4.2,4.4
CVE-2020-22039,2,2,1,1,0,0,,,,
CVE-2020-22041,1,4,0,1,0,3,,,,4.1.10;4.2.7;4.3
CVE-2020-22042,1,3,0,1,0,2,,,,4.3.3;4.4
CVE-2020-22043,2,2,1,1,0,0,,,,
CVE-2020-22044,1,4,0,1,0,3,,,,4.1.10;4.2.7;4.3
CVE-2020-22046,4,4,3,1,0,0,,,,
CVE-2020-24020,1,1,0,1,0,0,,,,
CVE-2021-38291,6,6,3,3,0,0,,,,
CVE-2022-1475,5,6,3,2,1,0,,,4.3.4,
CVE-2020-22020,1,4,0,1,0,3,,,,4.1.8;4.2.7;4.3
CVE-2020-22022,1,4,0,1,0,3,,,,4.1.8;4.2.7;4.3
CVE-2020-22023,1,4,0,1,0,3,,,,4.1.8;4.2.7;4.3
CVE-2020-22026,1,4,0,1,0,3,,,,4.1.8;4.2.7;4.3
CVE-2020-22027,1,4,0,1,0,3,,,,4.1.8;4.2.6;4.3
CVE-2020-22030,1,3,0,1,0,2,,,,4.1.8;4.3
CVE-2020-22031,1,4,0,1,0,3,,,,4.1.8;4.2.7;4.3
CVE-2020-22034,1,3,0,1,0,2,,,,4.1.8;4.3
CVE-2020-22035,1,3,0,1,0,2,,,,4.1.8;4.3
CVE-2020-22036,1,4,0,1,0,3,,,,4.1.8;4.2.7;4.3
CVE-2020-22048,1,4,0,1,0,3,,,,3.4.11;4.1.10;4.2.7
CVE-2020-23906,1,4,0,1,0,3,,,,4.2.5;4.3.1;4.4
CVE-2020-35965,2,5,0,2,0,3,,,,4.2.5;4.3.2;4.4
