cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2009-0946,cff_charset_load,6,3,3,,,,,,,,6
CVE-2010-2497,cff_decoder_parse_charstrings,6,3,3,,,,,,,,6
CVE-2010-2497,gray_render_cubic,3,0,3,,2.4.0;2.4.1;2.4.2,,,,,,6
CVE-2010-2498,psh_glyph_find_strong_points,6,3,3,,,,,,,,6
CVE-2010-2500,ft_smooth_render_generic,6,3,3,,,,,,,,6
CVE-2010-2500,gray_render_span,6,3,3,,,,,,,,6
CVE-2010-2499,Mac_Read_POST_Resource,6,3,3,,,,,,,,6
CVE-2010-2519,Mac_Read_POST_Resource,6,3,3,,,,,,,,6
CVE-2010-2520,Ins_IUP,6,3,3,,,,,,,,6
CVE-2010-2805,FT_Stream_EnterFrame,6,3,3,,,,,,,,6
CVE-2010-2806,t42_parse_sfnts,6,3,3,,,,,,,,6
CVE-2010-2808,Mac_Read_POST_Resource,6,3,3,,,,,,,,6
CVE-2010-3814,Ins_SHZ,6,3,3,,,,,,,,6
CVE-2010-3855,ft_var_readpackedpoints,4,1,3,,2.4.5;2.4.6,,,,,,6
CVE-2012-5668,_bdf_parse_start,4,2,2,2.4.8,2.5.0-1,,,,,,6
CVE-2012-5669,_bdf_parse_glyphs,3,1,2,,2.4.12;2.5.0-1,,,2.4.8,,,6
CVE-2012-5670,_bdf_parse_glyphs,3,1,2,2.4.9,2.4.11;2.5.0-1,,,,,,6
CVE-2014-9746,cid_parse_font_matrix,5,3,2,2.5.3,,,,,,,6
CVE-2014-9746,ps_parser_load_field,5,3,2,2.5.3,,,,,,,6
CVE-2014-9746,t1_parse_font_matrix,5,3,2,2.5.3,,,,,,,6
CVE-2014-9746,t42_parse_encoding,5,3,2,2.5.3,,,,,,,6
CVE-2014-9746,t42_parse_font_matrix,5,3,2,2.5.3,,,,,,,6
CVE-2014-9745,parse_encoding,6,3,3,,,,,,,,6
CVE-2014-2241,cf2_initLocalRegionBuffer,3,0,3,,2.5.3;2.5.4;2.5.5,,,,2.5.2;2.5.1;2.5.0;2.5.3;2.5.4;2.5.5,,6
CVE-2014-2241,cf2_initGlobalRegionBuffer,3,0,3,,2.5.3;2.5.4;2.5.5,,,,2.5.2;2.5.1;2.5.0;2.5.3;2.5.4;2.5.5,,6
CVE-2014-9670,pcf_get_encodings,6,3,3,,,,,,,,6
CVE-2014-9671,pcf_read_TOC,4,1,3,,2.5.5;2.6,,,,,,6
CVE-2014-9666,tt_sbit_decoder_init,6,3,3,,,,,,,,6
CVE-2014-9667,check_table_dir,6,3,3,,,,,,,,6
CVE-2014-9667,tt_face_load_font_dir,6,3,3,,,,,,,,6
CVE-2014-9668,woff_open_font,5,2,3,,2.6,,,,,,6
CVE-2014-9669,tt_cmap12_validate,6,3,3,,,,,,,,6
CVE-2014-9669,tt_cmap13_validate,6,3,3,,,,,,,,6
CVE-2014-9669,tt_cmap14_validate,6,3,3,,,,,,,,6
CVE-2014-9664,t42_parse_charstrings,6,3,3,,,,,,,,6
CVE-2014-9664,parse_charstrings,6,3,3,,,,,,,,6
CVE-2014-9665,Load_SBit_Png,6,3,3,,,,,,,,6
CVE-2014-9660,_bdf_parse_glyphs,2,2,0,2.5.3;2.5.2;2.5.1,2.5.5,,,,,,6
CVE-2014-9661,T42_Open_Face,6,3,3,,,,,,,,6
CVE-2014-9661,t42_parse_sfnts,6,3,3,,,,,,,,6
CVE-2014-9662,cf2_builder_cubeTo,6,3,3,,,,,,,,6
CVE-2014-9662,cf2_builder_lineTo,6,3,3,,,,,,,,6
CVE-2014-9663,tt_cmap4_validate,6,3,3,,,,,,,,6
CVE-2014-9656,tt_sbit_decoder_load_image,6,3,3,,,,,,,,6
CVE-2014-9657,tt_face_load_hdmx,6,3,3,,,,,,,,6
CVE-2014-9658,tt_face_load_kern,6,3,3,,,,,,,,6
CVE-2014-9673,Mac_Read_POST_Resource,6,3,3,,,,,,,,6
CVE-2014-9674,Mac_Read_POST_Resource,3,0,3,,2.5.4;2.5.5;2.6,,,,,,6
CVE-2014-9659,cf2_hintmap_build,6,3,3,,,,,,,,6
CVE-2014-9659,cf2_interpT2CharString,6,3,3,,,,,,,,6
CVE-2015-9382,ps_parser_skip_PS_token,6,3,3,,,,,,,,6
CVE-2015-9290,T1_Get_Private_Dict,6,3,3,,,,,,,,6
CVE-2015-9381,T1_Get_Private_Dict,6,3,3,,,,,,,,6
CVE-2015-9383,tt_cmap14_validate,6,3,3,,,,,,,,6
CVE-2016-10328,cff_parser_run,3,3,0,2.7;2.6.5;2.6.4,,,,,,,6
CVE-2017-7864,tt_size_reset,6,3,3,,,,,,,,6
CVE-2017-7858,sfnt_init_face,3,3,0,2.7.1;2.7;2.6.5,,,,,,,6
CVE-2017-7857,sfnt_init_face,5,3,2,,,,,,,,5
CVE-2017-8105,t1_decoder_parse_charstrings,5,2,3,,,,,,,2.9,6
CVE-2017-8287,t1_builder_close_contour,6,3,3,,,,,,,,6
