cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2016-6153,unixGetTempname,5,3,2,,,,,3.9.3,6
CVE-2016-6153,unixTempFileDir,5,3,2,,,,,3.9.3,6
CVE-2018-20346,nodeReaderNext,6,3,3,,,,,,6
CVE-2018-20346,fts3SegReaderNext,6,3,3,,,,,,6
CVE-2018-20346,fts3ScanInteriorNode,6,3,3,,,,,,6
CVE-2019-19242,sqlite3ExprCodeTarget,4,3,1,,,,,,4
CVE-2019-19242,whereIndexExprTransColumn,3,3,0,,,,,3.30.1,4
CVE-2019-19244,sqlite3Select,4,3,1,,,,,,4
CVE-2019-19317,lookupName,1,0,1,,3.31.0;3.31.1;3.32.0,,,,4
CVE-2019-19645,sqlite3CreateView,6,3,3,,,,,,6
CVE-2019-19645,renameTableFunc,6,3,3,,,,,,6
CVE-2019-19645,renameColumnFunc,3,0,3,,3.31.0;3.31.1;3.32.0,,,,6
CVE-2019-19645,renameUnmapSelectCb,6,3,3,,,,,,6
CVE-2019-19645,renameColumnSelectCb,6,3,3,,,,,,6
CVE-2019-19645,renameTableSelectCb,6,3,3,,,,,,6
CVE-2019-19646,sqlite3CreateColumnExpr,3,0,3,,3.31.0;3.31.1;3.32.0,,,,6
CVE-2019-19646,sqlite3Pragma,3,0,3,,3.31.0;3.31.1;3.32.0,,,,6
CVE-2019-19880,exprListAppendList,4,3,1,,,,,,4
CVE-2019-19923,flattenSubquery,4,3,1,,,,,,4
CVE-2019-19924,codeCompare,4,3,1,,,,,,4
CVE-2019-19924,vdbeVComment,4,3,1,,,,,,4
CVE-2019-19924,sqlite3WindowRewrite,4,3,1,,,,,,4
CVE-2019-19925,zipfileUpdate,4,3,1,,,,,,4
CVE-2019-19926,multiSelect,4,3,1,,,,,,4
CVE-2019-19959,zipfileStep,4,3,1,,,,,,4
CVE-2019-19959,zipfileUpdate,4,3,1,,,,,,4
CVE-2019-20218,selectExpander,4,3,1,,,,,,4
CVE-2019-8457,rtreenode,6,3,3,,,,,,6
CVE-2020-11655,resetAccumulator,6,3,3,,,,,,6
CVE-2020-11656,renameUnmapSelectCb,2,0,2,3.31.0,3.32.0;3.32.1;3.32.2,,,,6
CVE-2020-11656,unmapColumnIdlistNames,0,0,0,,,3.31.1;3.31.0;3.30.1;3.32.0;3.32.1;3.32.2,,,6
CVE-2020-13434,printfTempBuf,3,0,3,,3.32.1;3.32.2;3.32.3,,,,6
CVE-2020-13434,sqlite3_str_vappendf,3,0,3,,3.32.1;3.32.2;3.32.3,,,,6
CVE-2020-13630,fts3EvalNextRow,6,3,3,,,,,,6
CVE-2020-13632,fts3ExprLHits,6,3,3,,,,,,6
CVE-2020-15358,multiSelect,6,3,3,,,,,,6
CVE-2020-15358,flattenSubquery,6,3,3,,,,,,6
CVE-2020-15358,sqlite3Select,6,3,3,,,,,,6
CVE-2020-35525,multiSelect,4,3,1,,,,,,4
CVE-2020-35527,selectExpander,4,3,1,,,,,,4
CVE-2021-31239,apndOpen,3,2,1,,,,,,3
CVE-2021-36690,idxGetTableInfo,4,3,1,,,,,,4
CVE-2022-46908,safeModeAuth,3,0,3,,3.40.1;3.41.0;3.41.1,,,,6
CVE-2023-7104,sessionReadRecord,6,3,3,,,,,,6
