project,CVE,func,succeed,target,false_positive,false_negative,failed_versions
freetype,CVE-2010-2497,gray_render_cubic,6,6,0,0,
freetype,CVE-2010-3855,ft_var_readpackedpoints,6,6,0,0,
freetype,CVE-2014-9746,t1_parse_font_matrix,5,6,1,0,
freetype,CVE-2014-9746,t42_parse_font_matrix,5,6,1,0,
freetype,CVE-2014-9670,pcf_get_encodings,6,6,0,0,
freetype,CVE-2014-9669,tt_cmap12_validate,6,6,0,0,
freetype,CVE-2014-9662,cf2_builder_cubeTo,6,6,0,0,
freetype,CVE-2014-9662,cf2_builder_lineTo,6,6,0,0,
freetype,CVE-2014-9674,Mac_Read_POST_Resource,3,6,3,0,
freetype,CVE-2015-9382,ps_parser_skip_PS_token,6,6,0,0,
freetype,CVE-2015-9381,T1_Get_Private_Dict,6,6,0,0,
freetype,CVE-2017-7864,tt_size_reset,6,6,0,0,
