CVE,funcname,succeed,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2020-20446,psy_3gpp_analyze_channel,2,,,,,,2
CVE-2020-20448,encode_q_branch,1,,4.0.5;3.4.7;4.2.2,,,,4
CVE-2020-20448,uninit,1,,4.0.5;3.4.7;4.2.2,,,,4
CVE-2020-20453,aac_encode_frame,1,,4.4;4.3.2;4.1.7,,,,4
CVE-2020-20896,latm_write_packet,2,,4.0.5;4.2.2,,,,4
CVE-2020-20898,filter_prewitt,1,,4.0.5;3.4.7,,,,3
CVE-2020-20898,filter_roberts,1,,4.0.5;3.4.7,,,,3
CVE-2020-20898,filter16_roberts,1,,4.0.5;3.4.7,,,,3
CVE-2020-20898,filter_sobel,1,,4.0.5;3.4.7,,,,3
CVE-2020-20898,filter16_sobel,1,,4.0.5;3.4.7,,,,3
CVE-2020-20898,filter16_prewitt,1,,4.0.5;3.4.7,,,,3
CVE-2020-21697,mpeg_mux_write_packet,2,,,,,,2
CVE-2020-21697,remove_decoded_packets,2,,,,,,2
CVE-2020-22015,mov_write_video_tag,1,,,,,4.4;4.3.2;4.1.7,4
CVE-2020-22017,oscilloscope_filter_frame,1,,4.0.5;3.4.7,,,,3
CVE-2020-22019,ff_vmafmotion_init,2,,,,,,2
CVE-2020-22024,lagfun_frame16,1,,,,,4.0.5;3.4.7,3
CVE-2020-22029,slice_get_derivative,1,,,,,4.0.5;3.4.7,3
CVE-2020-22037,ff_frame_thread_encoder_init,3,4.2,,,,,4
CVE-2020-22038,v4l2_m2m_destroy_context,1,,4.3.1;4.2.4,,,2.8.17,4
CVE-2020-22038,ff_v4l2_m2m_codec_end,1,4.2,4.3.1,,,2.8.17,4
CVE-2020-22038,v4l2_decode_init,1,,4.3.1;4.2.4,,,2.8.17,4
CVE-2020-22039,avi_write_trailer,1,,,,,,1
CVE-2020-22041,request_frame,1,,4.0.5;4.2.1;3.4.7,,,,4
CVE-2020-22042,ffmpeg_cleanup,1,,4.2.4;2.8.17,,,,3
CVE-2020-22043,mpeg_mux_end,1,,,,,,1
CVE-2020-22043,mpeg_mux_init,1,,,,,,1
CVE-2020-22044,nut_write_trailer,1,,4.0.5;4.2.1;3.4.7,,,,4
CVE-2020-22046,ff_ac3_encode_init,1,,,,,,1
CVE-2020-22046,ff_ac3_encode_close,1,,,,,,1
CVE-2020-24020,dnn_execute_layer_conv2d,0,,,,,4.2.3;2.8.17;4.1.6;3.4.8,4
CVE-2020-24020,dnn_execute_layer_math_binary,0,,,,,4.2.3;2.8.17;4.1.6;3.4.8,4
CVE-2020-24020,dnn_execute_layer_math_unary,0,,,,,4.2.3;2.8.17;4.1.6;3.4.8,4
CVE-2020-24020,calculate_operand_dims_count,0,,,,,4.2.3;2.8.17;4.1.6;3.4.8,4
CVE-2020-24020,set_input_output_native,1,,4.1.6,,,2.8.17;3.4.8,4
CVE-2020-24020,dnn_execute_layer_maximum,0,,,,,4.2.3;2.8.17;4.1.6;3.4.8,4
CVE-2020-24020,dnn_execute_layer_pad,0,,,,,4.2.3;2.8.17;4.1.6;3.4.8,4
CVE-2020-24020,dnn_execute_layer_depth2space,0,,,,,4.2.3;2.8.17;4.1.6;3.4.8,4
CVE-2021-33815,dwa_uncompress,0,,,4.4;4.1.7;3.4.9;4.2.5,,,4
CVE-2021-38291,av_get_audio_frame_duration2,6,,,,,,6
CVE-2021-38291,av_get_audio_frame_duration,6,,,,,,6
CVE-2022-1475,g729_parse,3,4.3.4,,,,,4
CVE-2020-22020,config_input,1,,4.0.5;4.2.1;3.4.7,,,,4
CVE-2020-22022,filter_frame,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22023,filter_frame,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22026,filter_frame,1,,4.0.5;4.2.1;3.4.7,,,,4
CVE-2020-22026,config_input,1,,4.0.5;4.2.1;3.4.7,,,,4
CVE-2020-22027,filter_slice,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22030,activate,1,,4.0.5;4.2.1;3.4.7,,,,4
CVE-2020-22031,config_input,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22034,filter_frame,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22034,config_input,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22035,config_input,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22035,filter_slice,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22036,config_props,1,,4.2.1;4.0.5;3.4.7,,,,4
CVE-2020-22048,filter_frame,1,,4.0.5;4.2.1;3.4.7,,,,4
CVE-2020-23906,read_packet,1,,4.2.4;4.3.1;2.8.17,,,,4
CVE-2020-35965,decode_frame,2,,,,,,2
CVE-2020-22021,filter_edges,1,,,4.1.7;4.2;4.4;4.3.2;4.1.7,,,6
