cve,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2009-0946,6,6,100.00%,,,
CVE-2010-2497,3,6,50.00%,,,2.4.2;2.4.1;2.4.0
CVE-2010-2498,6,6,100.00%,,,
CVE-2010-2500,6,6,100.00%,,,
CVE-2010-2499,6,6,100.00%,,,
CVE-2010-2519,6,6,100.00%,,,
CVE-2010-2520,6,6,100.00%,,,
CVE-2010-2805,6,6,100.00%,,,
CVE-2010-2806,6,6,100.00%,,,
CVE-2010-2808,6,6,100.00%,,,
CVE-2010-3814,6,6,100.00%,,,
CVE-2010-3855,4,6,66.67%,,,2.4.6;2.4.5
CVE-2012-5668,4,6,66.67%,,2.4.8,2.5.0-1
CVE-2012-5669,3,6,50.00%,2.4.8,,2.5.0-1;2.4.12
CVE-2012-5670,3,6,50.00%,,2.4.9,2.5.0-1;2.4.11
CVE-2014-9746,5,6,83.33%,,2.5.3,
CVE-2014-9745,6,6,100.00%,,,
CVE-2014-2241,0,6,0.00%,2.5.5;2.5.0;2.5.2;2.5.1;2.5.3;2.5.4,,
CVE-2014-9670,6,6,100.00%,,,
CVE-2014-9671,4,6,66.67%,,,2.5.5;2.6
CVE-2014-9666,6,6,100.00%,,,
CVE-2014-9667,6,6,100.00%,,,
CVE-2014-9668,5,6,83.33%,,,2.6
CVE-2014-9669,6,6,100.00%,,,
CVE-2014-9664,6,6,100.00%,,,
CVE-2014-9665,6,6,100.00%,,,
CVE-2014-9660,2,6,33.33%,,2.5.2;2.5.1;2.5.3,2.5.5
CVE-2014-9661,0,6,0.00%,2.5.5;2.5.2;2.5.1;2.5.3;2.5.4;2.6,,
CVE-2014-9662,6,6,100.00%,,,
CVE-2014-9663,6,6,100.00%,,,
CVE-2014-9656,6,6,100.00%,,,
CVE-2014-9657,6,6,100.00%,,,
CVE-2014-9658,6,6,100.00%,,,
CVE-2014-9673,6,6,100.00%,,,
CVE-2014-9674,3,6,50.00%,,,2.5.5;2.5.4;2.6
CVE-2014-9659,6,6,100.00%,,,
CVE-2015-9382,6,6,100.00%,,,
CVE-2015-9290,6,6,100.00%,,,
CVE-2015-9381,6,6,100.00%,,,
CVE-2015-9383,6,6,100.00%,,,
CVE-2016-10328,3,6,50.00%,,2.7;2.6.4;2.6.5,
CVE-2017-7864,6,6,100.00%,,,
CVE-2017-7858,3,6,50.00%,,2.7.1;2.7;2.6.5,
CVE-2017-7857,5,5,100.00%,,,
CVE-2017-8105,5,6,83.33%,2.9,,
CVE-2017-8287,6,6,100.00%,,,
